GL_account,GL_account_description,account_id,partition_ledger_year_month,amount_usd
59611,"JPMorgan Chase, Sydney FX",693819,202111,-203.09
59611,"JPMorgan Chase, Sydney FX",693819,202112,-564.57
59611,"JPMorgan Chase, Sydney FX",693819,202201,689.41
59611,"JPMorgan Chase, Sydney FX",693819,202202,229.18
59611,"JPMorgan Chase, Sydney FX",693819,202203,-3.73
59611,"JPMorgan Chase, Sydney FX",693819,202204,-363.33
59611,"JPMorgan Chase, Sydney FX",693819,202205,-67.08
59611,"JPMorgan Chase, Sydney FX",693819,202206,380.1
59611,"JPMorgan Chase, Sydney FX",693819,202207,601.84
59611,"JPMorgan Chase, Sydney FX",693819,202208,-29.81
59611,"JPMorgan Chase, Sydney FX",693819,202209,-184.47
59611,"JPMorgan Chase, Sydney FX",693819,202210,-320.48
59611,"JPMorgan Chase, Sydney FX",693819,202211,-152.79
59611,"JPMorgan Chase, Sydney FX",693819,202212,322.35
59611,"JPMorgan Chase, Sydney FX",693819,202301,605.56
59611,"JPMorgan Chase, Sydney FX",693819,201802,-443.46
59611,"JPMorgan Chase, Sydney FX",693819,202303,-363.33
59611,"JPMorgan Chase, Sydney FX",693819,202304,-193.78
59611,"JPMorgan Chase, Sydney FX",693819,202305,-95.03
59611,"JPMorgan Chase, Sydney FX",693819,202306,-305.57
59611,"JPMorgan Chase, Sydney FX",693819,201807,111.79
59611,"JPMorgan Chase, Sydney FX",693819,202308,-171.42
59611,"JPMorgan Chase, Sydney FX",693819,202309,-96.89
59611,"JPMorgan Chase, Sydney FX",693819,202310,-374.52
59611,"JPMorgan Chase, Sydney FX",693819,202311,463.96
59611,"JPMorgan Chase, Sydney FX",693819,202312,-504.95
59611,"JPMorgan Chase, Sydney FX",693819,202401,223.59
59611,"JPMorgan Chase, Sydney FX",693819,202402,61.49
59611,"JPMorgan Chase, Sydney FX",693819,202403,-190.05
59611,"JPMorgan Chase, Sydney FX",693819,202404,-83.85
59611,"JPMorgan Chase, Sydney FX",693819,202405,-227.32
59611,"JPMorgan Chase, Sydney FX",693819,202406,122.98
112010,JP Morgan - USD,751280,202001,30355294.12
112010,JP Morgan - USD,751280,202002,16243965.98
112010,JP Morgan - USD,751280,202003,24551502.58
112010,JP Morgan - USD,751280,202004,48581934.22
112010,JP Morgan - USD,751280,202005,13279575.49
112010,JP Morgan - USD,751280,202006,14134964.56
112010,JP Morgan - USD,751280,202007,36125957.54
112010,JP Morgan - USD,751280,202008,-3860756.54
